ESTU;REGISTRO;ID_CIS;MODE;FECHAINI;HORAINI;FECHAFIN;HORAFIN;DURACION;IDSCREEN;CCAA;PROV;MUN;TAMUNI;NACIONALIDAD;PAIS_NACIONALIDAD;SEXO;BIRTH;MES_NACIMIENTO;DECADA;URBRURAL;INTERNET;QTIME_1;QTIME_2;QTIME_3;INTERNETHH;INTERNETMM;HORA_INCIO_V;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61_1;V61_2;V61_3;V61B;V62;HORA_FIN_VISSP;UNION_1;INTPOL;LEFT_RIGHT;IDEOL_CATEG_1;IDEOL_CATEG_2;C_SATISFVIDA_24;LUGAR_NAC;PROV_NAC;PAIS_NACIMIENTO;YEAR_ARRIVAL;F_BORN;F_BORN1;M_BORN;M_BORN1;FATH_WORK;FATH_ISCO08;FATH_NAT_DEGR;MOTH_WORK;MOTH_ISCO08;MOTH_NAT_DEGR;GENDER_ID;ORIENTAC_SEXUAL;NAT_DEGR;EDUCYRS;REPETICION;EDAD_REPETICION;TIPO_COLEGIO;TIPO_COLEGIO_2;WORK_1;C_SATISFTRABAJO;WRKHRS;EMPREL;WRKSUP;NSUP;TYPORG1;ISCO08;NACE_2;MAINSTAT_M_1;MAINSTAT_M_2;MAINSTAT_M_3;MAINSTAT_M_4;MAINSTAT_M_5;MAINSTAT_M_6;MAINSTAT_M_7;MAINSTAT_M_8;MAINSTAT_M_9;MAINSTAT_M;MAINSTAT;PARTLIV;SPNAT_DEGR;SPWORK;SPWRKHRS;SPEMPREL;SPWRKSUP;SPISCO08;SPNACE_2;SPMAINST_M_1;SPMAINST_M_2;SPMAINST_M_3;SPMAINST_M_4;SPMAINST_M_5;SPMAINST_M_6;SPMAINST_M_7;SPMAINST_M_8;SPMAINST_M_9;SPMAINST_M;SPMAINST;MARITAL;NBCHLD_LS18_1;NBCHLD_LS18_2;NBCHLD_GT18_1;NBCHLD_GT18_2;CHILD_D;NAT_RELIG;ATTEND;TOPBOT;TOPBOT_PADRES;TOPBOT_HIJOS;MERIT;VOTE_LE;NAT_PRTY;NAT_ETHN_1;NAT_ETHN_2;HOMPOP_TOT;HMP_SB_1;HMP_SB_2;HMP_SB_3;HMP_SB_4;HMP_SB_5;HMP_SB_6;HMP_SB_7;HMP_SB_8;HMP_SB_9;HMP_SB_10;HMP_GD_1;HMP_GD_2;HMP_GD_3;HMP_GD_4;HMP_GD_5;HMP_GD_6;HMP_GD_7;HMP_GD_8;HMP_GD_9;HMP_GD_10;HMP_YR_1;HMP_YR_2;HMP_YR_3;HMP_YR_4;HMP_YR_5;HMP_YR_6;HMP_YR_7;HMP_YR_8;HMP_YR_9;HMP_YR_10;NAT_INC;NAT_RINC;DIFICULT_ECO;HORA_FINC;ENC1;ENC2;ENC2A_1;ENC2A_2;ENC3;ENC3A_CAWI_1;ENC3A_CAWI_2;ENC3A_CAWI_3;ENC3A_CAWI_4;ENC3A_CAWI_5;ENC3A_CAWI_96;ENC3A_CAWI_99;ENC3A_PAPEL_1;ENC3A_PAPEL_2;ENC3A_PAPEL_3;ENC3A_PAPEL_4;ENC3A_PAPEL_5;ENC3A_PAPEL_96;ENC3A_PAPEL_99;ENC4;ENC5;IA_E1_DIA;IA_E1_MES;IA_E1_ANYO;IA_E2;IA_E3;IA_E4;IA_VALIDA;IA_APLAZADA;IA_MODIFICADA;IA_SUPERVISADA;IA_C2;IA_C2A;IA_C3;IA_C4;GRABADOR;PARTIALS;EDAD;INTERNETOT;COB_SANITARIA;FATH_OCUPAISCO08;MOTH_OCUPAISCO08;ESTUDIOS;OCUPAISCO08;RAMA;SITLAB;ISCO08R;SPESTUDIOS;OCUPASPISCO08;SPRAMA;SPSITLAB;NBCHLD_TOT;RELIGION;RECUERDO;NIVELEDU;PESODIS;PESO;PESOFIN
3462.0;1400.0;3.0;34.0;N.P.;N.P.;N.P.;N.P.;;N.P.;1.0;11.0;0.0;1.0;1.0;;2.0;1956.0;7.0;;3.0;1.0;;;;;;N.P.;4.0;3.0;5.0;3.0;5.0;4.0;1.0;4.0;4.0;4.0;3.0;3.0;5.0;3.0;2.0;3.0;4.0;1.0;1.0;1.0;5.0;97.0;;;;;;5.0;5.0;1.0;5.0;5.0;2.0;2.0;5.0;5.0;4.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;2.0;1.0;149.0;78.0;3.0;1.0;1.0;1.0;1.0;3.0;1.0;9.0;9.0;;;N.P.;3.0;1.0;0.0;4.0;6.0;0.0;1.0;28.0;;;1.0;;1.0;;1.0;7112.0;1.0;1.0;5120.0;1.0;1.0;1.0;2.0;5.0;1.0;13.0;1.0;1.0;2.0;;;1.0;2.0;;5.0;5152.0;97.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;8.0;;1.0;6.0;2.0;;1.0;2.0;7213.0;45.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;7.0;;3.0;0.0;0.0;2.0;2.0;4.0;1.0;7.0;3.0;3.0;3.0;10.0;1.0;2.0;1.0;14.0;4.0;1.0;2.0;2.0;;;;;;;;1.0;1.0;2.0;;;;;;;;1949.0;1980.0;1989.0;;;;;;;;1.0;1.0;2.0;N.P.;3.0;2.0;;;1.0;;;;;;;;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;29/05/2024;29.0;5.0;24.0;3.0;;;1.0;0.0;0.0;0.0;1.0;;;0.0;0.0;1.0;67.0;;2.0;7.0;5.0;1.0;5.0;4.0;8.0;14.0;3.0;7.0;4.0;7.0;4.0;2.0;2.0;1.0;0.99977;1.20672;0.69303
3462.0;1138.0;11.0;41.0;23/05/2024;22:01:10;23/05/2024;23:09:20;1573.0;"1920;1080";1.0;41.0;0.0;1.0;1.0;;1.0;1984.0;8.0;;4.0;5.0;1.0;0.0;0.0;10.0;99.0;22:02:26;3.0;2.0;8.0;3.0;5.0;4.0;2.0;2.0;2.0;3.0;4.0;3.0;2.0;2.0;2.0;3.0;4.0;3.0;2.0;4.0;4.0;6.0;2.0;1.0;1.0;4.0;8.0;5.0;4.0;1.0;5.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;4.0;6.0;2.0;2.0;176.0;90.0;1.0;1.0;2.0;2.0;2.0;3.0;1.0;1.0;1.0;;1.0;22:10:36;3.0;3.0;3.0;6.0;10.0;8.0;1.0;41.0;;;1.0;;1.0;;1.0;9998.0;11.0;1.0;2330.0;10.0;1.0;1.0;14.0;14.0;1.0;15.0;1.0;3.0;1.0;9.0;40.0;1.0;1.0;5.0;3.0;2519.0;63.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;7.0;1.0;30.0;2.0;2.0;7533.0;14.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;1.0;3.0;1.0;1.0;0.0;0.0;2.0;0.0;8.0;6.0;7.0;7.0;8.0;1.0;4.0;1.0;24.0;4.0;1.0;2.0;2.0;;;;;;;;2.0;1.0;2.0;;;;;;;;1986.0;2015.0;2018.0;;;;;;;;7.0;7.0;4.0;23:07:37;3.0;2.0;;;3.0;;;;;;;;;;;;;;;;N.P.;23.0;5.0;24.0;4.0;27.0;5.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;39.0;10.0;8.0;98.0;2.0;6.0;2.0;4.0;1.0;2.0;3.0;7.0;2.0;1.0;2.0;1.0;4.0;4.0;0.99977;1.20672;1.3618
3462.0;2064.0;16.0;41.0;23/06/2024;21:55:22;23/06/2024;22:34:18;2333.0;"1536;864";1.0;23.0;0.0;1.0;1.0;;2.0;1966.0;6.0;;4.0;5.0;0.0;0.0;1.0;98.0;98.0;21:57:43;4.0;3.0;4.0;4.0;4.0;4.0;4.0;2.0;2.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;4.0;3.0;2.0;3.0;4.0;5.0;2.0;1.0;1.0;3.0;3.0;4.0;4.0;2.0;4.0;4.0;1.0;1.0;3.0;1.0;2.0;3.0;1.0;2.0;2.0;2.0;4.0;3.0;3.0;10.0;1.0;1.0;5.0;6.0;3.0;2.0;165.0;65.0;3.0;9.0;3.0;3.0;3.0;3.0;1.0;1.0;1.0;;1.0;22:12:40;2.0;2.0;8.0;1.0;2.0;6.0;1.0;8.0;;;1.0;;1.0;;2.0;1412.0;2.0;8.0;5131.0;1.0;2.0;1.0;16.0;17.0;2.0;;1.0;2.0;1.0;9.0;35.0;1.0;2.0;;1.0;2635.0;84.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;3.0;;;;;;;;;;;;;;;;;;;4.0;;;;;2.0;1.0;5.0;7.0;6.0;6.0;3.0;1.0;1.0;1.0;2.0;2.0;3.0;;;;;;;;;;1.0;;;;;;;;;;1940.0;;;;;;;;;;6.0;5.0;4.0;22:33:30;3.0;2.0;;;3.0;;;;;;;;;;;;;;;;N.P.;23.0;6.0;24.0;7.0;39.0;5.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;58.0;98.0;8.0;1.0;5.0;7.0;2.0;4.0;1.0;2.0;;;;;0.0;2.0;1.0;4.0;0.99977;1.20672;0.69245
3462.0;511.0;21.0;41.0;15/05/2024;15:49:01;15/05/2024;16:31:56;2555.0;"976;610";1.0;41.0;0.0;1.0;3.0;321.0;2.0;1994.0;10.0;;1.0;5.0;0.0;0.0;1.0;98.0;98.0;15:52:01;2.0;1.0;5.0;3.0;4.0;2.0;3.0;1.0;1.0;3.0;5.0;3.0;3.0;1.0;1.0;3.0;4.0;3.0;2.0;2.0;3.0;4.0;3.0;4.0;1.0;2.0;2.0;3.0;4.0;1.0;4.0;3.0;4.0;3.0;5.0;5.0;5.0;3.0;1.0;3.0;3.0;3.0;1.0;4.0;3.0;10.0;1.0;1.0;6.0;5.0;2.0;2.0;150.0;63.0;2.0;1.0;2.0;1.0;2.0;3.0;1.0;9.0;9.0;;;16:08:48;3.0;4.0;10.0;3.0;99.0;8.0;2.0;;321.0;2018.0;2.0;321.0;2.0;321.0;2.0;6111.0;2.0;3.0;;2.0;2.0;1.0;7.0;998.0;2.0;;1.0;2.0;1.0;10.0;35.0;1.0;2.0;;3.0;5322.0;86.0;;;;;;;;;1.0;9.0;;3.0;;;;;;;;;;;;;;;;;;;5.0;1.0;0.0;0.0;0.0;2.0;1.0;2.0;5.0;1.0;9.0;10.0;5.0;;1.0;99.0;2.0;6.0;;;;;;;;;;2.0;;;;;;;;;;1992.0;;;;;;;;;;2.0;2.0;3.0;16:31:15;3.0;2.0;;;3.0;;;;;;;;;;;;;;;;N.P.;15.0;5.0;24.0;3.0;43.0;3.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;29.0;98.0;2.0;6.0;;3.0;5.0;4.0;9.0;5.0;;;;;1.0;2.0;95.0;2.0;0.99977;1.20672;2.50059
3462.0;567.0;22.0;41.0;15/05/2024;20:41:13;15/05/2024;21:10:51;1775.0;"393;873";1.0;14.0;0.0;1.0;1.0;;1.0;1976.0;12.0;;4.0;5.0;1.0;0.0;0.0;1.0;99.0;20:42:25;2.0;2.0;3.0;4.0;5.0;4.0;2.0;2.0;2.0;1.0;3.0;3.0;1.0;4.0;2.0;2.0;3.0;5.0;2.0;4.0;5.0;6.0;3.0;1.0;3.0;4.0;4.0;4.0;4.0;1.0;5.0;4.0;1.0;3.0;2.0;2.0;1.0;3.0;1.0;2.0;3.0;3.0;2.0;3.0;3.0;10.0;1.0;2.0;4.0;5.0;3.0;1.0;180.0;70.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;;;20:54:02;3.0;3.0;2.0;4.0;99.0;8.0;1.0;8.0;;;1.0;;1.0;;3.0;;2.0;2.0;5120.0;2.0;1.0;1.0;6.0;998.0;1.0;16.0;1.0;3.0;1.0;7.0;47.0;1.0;2.0;;3.0;8332.0;46.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;13.0;1.0;35.0;1.0;2.0;9999.0;999.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;;3.0;0.0;0.0;2.0;0.0;3.0;1.0;5.0;7.0;5.0;7.0;5.0;1.0;4.0;10.0;1.0;3.0;1.0;2.0;;;;;;;;;2.0;1.0;;;;;;;;;1976.0;2006.0;;;;;;;;;99.0;99.0;4.0;21:09:41;3.0;4.0;6.0;99.0;3.0;;;;;;;;;;;;;;;;N.P.;15.0;5.0;24.0;3.0;30.0;4.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;47.0;1.0;6.0;;5.0;3.0;8.0;4.0;1.0;8.0;6.0;99.0;9.0;1.0;2.0;2.0;4.0;2.0;0.99977;1.20672;1.27355
3462.0;1065.0;24.0;41.0;22/05/2024;12:36:01;22/05/2024;13:58:28;4944.0;"1280;720";1.0;4.0;0.0;1.0;3.0;125.0;2.0;1961.0;99.0;;4.0;5.0;1.0;0.0;0.0;2.0;99.0;12:41:13;3.0;3.0;5.0;4.0;9.0;4.0;5.0;1.0;9.0;1.0;4.0;3.0;1.0;1.0;2.0;8.0;4.0;2.0;4.0;2.0;2.0;4.0;4.0;3.0;9.0;2.0;9.0;2.0;9.0;4.0;4.0;4.0;3.0;9.0;3.0;2.0;2.0;3.0;3.0;2.0;2.0;2.0;2.0;3.0;3.0;5.0;2.0;5.0;5.0;6.0;3.0;2.0;162.0;75.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;2.0;;;13:15:40;3.0;2.0;4.0;98.0;99.0;7.0;2.0;;999.0;2015.0;9.0;;2.0;125.0;1.0;8142.0;98.0;1.0;7533.0;98.0;2.0;1.0;3.0;12.0;2.0;;1.0;3.0;2.0;;;1.0;1.0;2.0;3.0;1349.0;86.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;;1.0;4.0;2.0;;1.0;1.0;3332.0;90.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;7.0;;3.0;;;;;8.0;0.0;8.0;98.0;4.0;98.0;98.0;5.0;;2.0;23.0;2.0;1.0;;;;;;;;;;1.0;;;;;;;;;;1953.0;;;;;;;;;;2.0;2.0;4.0;13:57:26;3.0;2.0;;;3.0;;;;;;;;;;;;;;;;N.P.;22.0;5.0;24.0;3.0;83.0;2.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;63.0;2.0;2.0;8.0;7.0;2.0;1.0;4.0;7.0;12.0;5.0;3.0;4.0;7.0;0.0;1.0;95.0;1.0;0.99977;1.20672;0.71884
3462.0;1950.0;29.0;41.0;19/06/2024;21:47:16;19/06/2024;22:04:35;1038.0;"393;851";1.0;29.0;0.0;1.0;1.0;;2.0;1994.0;99.0;;1.0;5.0;1.0;1.0;0.0;10.0;59.0;21:48:11;4.0;3.0;4.0;4.0;5.0;2.0;4.0;2.0;2.0;3.0;4.0;3.0;4.0;2.0;2.0;2.0;4.0;3.0;3.0;4.0;2.0;8.0;4.0;3.0;3.0;3.0;4.0;5.0;4.0;1.0;3.0;4.0;2.0;3.0;4.0;4.0;4.0;2.0;2.0;3.0;3.0;9.0;2.0;5.0;3.0;4.0;1.0;1.0;4.0;6.0;3.0;2.0;164.0;65.0;2.0;1.0;2.0;1.0;2.0;8.0;1.0;2.0;1.0;;;21:56:28;3.0;2.0;98.0;98.0;99.0;8.0;1.0;29.0;;;1.0;;1.0;;1.0;6114.0;3.0;3.0;;3.0;2.0;1.0;16.0;4.0;2.0;;1.0;3.0;1.0;10.0;40.0;1.0;1.0;1.0;3.0;2411.0;70.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;2.0;4.0;1.0;40.0;2.0;2.0;2651.0;73.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;;1.0;;;;;1.0;1.0;5.0;5.0;5.0;5.0;5.0;1.0;97.0;1.0;2.0;2.0;5.0;;;;;;;;;;2.0;;;;;;;;;;2013.0;;;;;;;;;;1.0;1.0;1.0;22:04:09;3.0;1.0;;;3.0;;;;;;;;;;;;;;;;N.P.;19.0;6.0;24.0;3.0;18.0;5.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;30.0;10.98;6.0;6.0;;7.0;2.0;4.0;1.0;2.0;5.0;2.0;4.0;1.0;0.0;2.0;97.0;4.0;0.99977;1.20672;0.80839
3462.0;1659.0;33.0;41.0;12/06/2024;17:29:24;12/06/2024;18:14:38;2665.0;"360;800";1.0;41.0;0.0;1.0;1.0;;1.0;1957.0;11.0;;4.0;3.0;;;;;;17:30:33;4.0;2.0;5.0;1.0;4.0;4.0;3.0;2.0;2.0;1.0;3.0;3.0;2.0;2.0;2.0;3.0;4.0;4.0;2.0;2.0;4.0;6.0;2.0;2.0;2.0;4.0;3.0;4.0;4.0;2.0;4.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;3.0;3.0;3.0;8.0;3.0;3.0;10.0;2.0;1.0;2.0;5.0;3.0;2.0;174.0;96.0;2.0;2.0;3.0;1.0;1.0;3.0;1.0;2.0;2.0;;;17:49:55;2.0;2.0;2.0;10.0;6.0;8.0;1.0;41.0;;;1.0;;1.0;;1.0;4110.0;2.0;3.0;;2.0;1.0;1.0;5.0;13.0;2.0;;8.0;3.0;2.0;;;1.0;2.0;;1.0;5329.0;86.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;7.0;;1.0;3.0;2.0;;1.0;2.0;7531.0;13.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;7.0;;3.0;0.0;0.0;2.0;0.0;8.0;0.0;8.0;98.0;2.0;98.0;7.0;1.0;4.0;1.0;2.0;3.0;1.0;2.0;;;;;;;;;2.0;1.0;;;;;;;;;1959.0;1995.0;;;;;;;;;4.0;3.0;3.0;18:12:44;3.0;8.0;;;3.0;;;;;;;;;;;;;;;;N.P.;12.0;6.0;24.0;3.0;45.0;3.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;66.0;;2.0;4.0;;3.0;5.0;4.0;7.0;12.0;2.0;7.0;2.0;7.0;2.0;1.0;4.0;2.0;0.99977;1.20672;1.41919
3462.0;1778.0;34.0;41.0;16/06/2024;22:26:15;16/06/2024;23:02:13;2156.0;"1920;1080";1.0;21.0;0.0;1.0;1.0;;1.0;1985.0;4.0;;4.0;5.0;1.0;0.0;0.0;10.0;99.0;22:27:57;3.0;4.0;4.0;2.0;4.0;3.0;5.0;2.0;2.0;1.0;3.0;3.0;2.0;2.0;2.0;3.0;3.0;4.0;2.0;4.0;3.0;8.0;3.0;2.0;1.0;3.0;4.0;4.0;4.0;1.0;5.0;4.0;3.0;4.0;3.0;3.0;3.0;3.0;1.0;2.0;2.0;1.0;2.0;3.0;2.0;10.0;1.0;4.0;4.0;6.0;3.0;2.0;167.0;71.0;2.0;2.0;3.0;1.0;2.0;3.0;1.0;2.0;2.0;;;22:43:30;3.0;2.0;4.0;6.0;5.0;7.0;1.0;21.0;;;1.0;;1.0;;1.0;7119.0;1.0;3.0;;1.0;1.0;1.0;14.0;998.0;1.0;98.0;1.0;3.0;1.0;7.0;40.0;1.0;2.0;;3.0;2521.0;62.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;3.0;;;;;;;;;;;;;;;;;;;1.0;;;;;2.0;1.0;7.0;4.0;3.0;3.0;10.0;3.0;;1.0;2.0;3.0;3.0;3.0;;;;;;;;;1.0;2.0;;;;;;;;;1951.0;1954.0;;;;;;;;;4.0;3.0;4.0;23:01:12;8.0;2.0;;;3.0;;;;;;;;;;;;;;;;N.P.;16.0;6.0;24.0;7.0;36.0;5.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;39.0;10.0;2.0;7.0;;6.0;2.0;4.0;1.0;2.0;;;;;0.0;2.0;90.0;4.0;0.99977;1.20672;1.3618
3462.0;1247.0;35.0;41.0;28/05/2024;18:22:20;28/05/2024;18:52:23;1802.0;"1920;1080";1.0;18.0;0.0;1.0;1.0;;2.0;1971.0;5.0;;4.0;5.0;1.0;1.0;0.0;4.0;30.0;18:23:54;2.0;2.0;5.0;3.0;4.0;4.0;2.0;4.0;2.0;3.0;3.0;3.0;1.0;1.0;2.0;1.0;2.0;3.0;1.0;4.0;3.0;4.0;3.0;2.0;2.0;4.0;3.0;5.0;4.0;2.0;3.0;4.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;1.0;1.0;5.0;6.0;2.0;2.0;168.0;60.0;2.0;2.0;2.0;1.0;2.0;3.0;9.0;1.0;9.0;;4.0;18:35:42;3.0;2.0;98.0;10.0;4.0;8.0;1.0;18.0;;;1.0;;1.0;;1.0;7112.0;3.0;3.0;;3.0;2.0;1.0;16.0;17.0;2.0;;1.0;3.0;1.0;8.0;40.0;1.0;1.0;16.0;1.0;2341.0;85.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;17.0;1.0;40.0;1.0;1.0;2330.0;85.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;;3.0;;;;;8.0;1.0;2.0;7.0;5.0;8.0;7.0;1.0;98.0;1.0;2.0;2.0;1.0;;;;;;;;;;1.0;;;;;;;;;;1976.0;;;;;;;;;;8.0;6.0;4.0;18:51:36;3.0;2.0;;;3.0;;;;;;;;;;;;;;;;N.P.;28.0;5.0;24.0;2.0;31.0;3.0;1.0;0.0;0.0;0.0;1.0;;;0.0;1.0;1.0;53.0;4.5;3.0;7.0;;7.0;2.0;4.0;1.0;2.0;7.0;2.0;4.0;1.0;0.0;2.0;98.0;4.0;0.99977;1.20672;0.7413
