iter	MultiClass
0	1.053729572
1	1.013953863
2	0.9795777854
3	0.9503689848
4	0.9235702189
5	0.901462563
6	0.8826975726
7	0.8645243942
8	0.8511129754
9	0.8358642207
10	0.8224285439
11	0.8104203059
12	0.7995192548
13	0.7889040506
14	0.7804283743
15	0.7717602408
16	0.7637391309
17	0.7569887301
18	0.7501619864
19	0.7438999091
20	0.7384527914
21	0.7339295711
22	0.7294930717
23	0.7253928071
24	0.7211659639
25	0.7173832014
26	0.7140964823
27	0.7109947267
28	0.7079062644
29	0.7048568043
30	0.7023943959
31	0.7000958077
32	0.6977383722
33	0.6957938595
34	0.6935990129
35	0.6930177813
36	0.6911839699
37	0.6892596651
38	0.6883154227
39	0.6864660227
40	0.685046212
41	0.6835094216
42	0.682324033
43	0.6820033741
44	0.6810374356
45	0.6795600332
46	0.6781214973
47	0.6766189205
48	0.6757767968
49	0.6745757521
50	0.6731011268
51	0.6720573662
52	0.6708536285
53	0.670004503
54	0.668746713
55	0.66756515
56	0.6661767934
57	0.664922765
58	0.6635337116
59	0.6616495706
60	0.6603638645
61	0.6593851674
62	0.6582964661
63	0.6575808996
64	0.6563884561
65	0.6552241654
66	0.6543592644
67	0.6533645334
68	0.652640632
69	0.6518884112
70	0.6508853782
71	0.6499431637
72	0.6485125379
73	0.6474012814
74	0.6464865251
75	0.6461145081
76	0.6448470289
77	0.644151417
78	0.6431451688
79	0.6423234779
80	0.6412572451
81	0.640148059
82	0.6392904205
83	0.6383008094
84	0.6373514906
85	0.6362649631
86	0.6354356983
87	0.634740182
88	0.63365997
89	0.6326080739
90	0.6320107589
91	0.6308763917
92	0.6300453745
93	0.6294093032
94	0.6287080846
95	0.6279616031
96	0.6269987084
97	0.6263346925
98	0.625433907
99	0.6246835942
100	0.6241384766
101	0.6236090648
102	0.6231994903
103	0.6221219268
104	0.6209568622
105	0.6198452324
106	0.618979129
107	0.6183065537
108	0.6174932963
109	0.6167830194
110	0.6155102351
111	0.614739128
112	0.6140718532
113	0.6135271182
114	0.6127584
115	0.6121316133
116	0.6112242855
117	0.6104334576
118	0.6097925615
119	0.6090733332
120	0.6084604811
121	0.60771116
122	0.6070365618
123	0.6063908167
124	0.605713676
125	0.6051213239
126	0.6042049691
127	0.6035939075
128	0.6029254945
129	0.6022319676
130	0.601556054
131	0.6007864969
132	0.5998082065
133	0.5987825595
134	0.5980927573
135	0.5969364948
136	0.5961230911
137	0.5955223762
138	0.5950002978
139	0.5942451063
140	0.5936231016
141	0.592971977
142	0.5924265563
143	0.5919853568
144	0.5914551754
145	0.5903659095
146	0.5897867784
147	0.5890350679
148	0.5881927766
149	0.5877531997
150	0.5869273709
151	0.586480693
152	0.5856136198
153	0.5852195076
154	0.5845517024
155	0.5840035183
156	0.5835312744
157	0.582897504
158	0.5821956308
159	0.5816640694
160	0.5810843743
161	0.5805993817
162	0.5798389384
163	0.5789026928
164	0.5780844747
165	0.5771963117
166	0.576619467
167	0.5760230216
168	0.5755028276
169	0.5748600402
170	0.5744035244
171	0.5739119615
172	0.5730925734
173	0.5726302233
174	0.5721290194
175	0.5714639311
176	0.5709363019
177	0.5702532227
178	0.5697087038
179	0.5691483661
180	0.5683718647
