iter	Passed	Remaining
0	47	47223
1	47	23860
2	48	16080
3	48	12195
4	49	9859
5	50	8301
6	50	7193
7	51	6356
8	51	5687
9	52	5157
10	52	4735
11	53	4374
12	53	4077
13	54	3823
14	54	3600
15	55	3407
16	55	3236
17	56	3085
18	57	2950
19	57	2828
20	58	2717
21	58	2617
22	59	2526
23	60	2441
24	60	2362
25	61	2291
26	61	2223
27	62	2161
28	62	2104
29	63	2050
30	63	2000
31	64	1951
32	65	1908
33	65	1866
34	66	1827
35	66	1785
36	67	1749
37	67	1715
38	68	1681
39	68	1651
40	69	1622
41	69	1595
42	70	1569
43	70	1540
44	71	1514
45	71	1492
46	72	1470
47	73	1449
48	73	1429
49	74	1410
50	74	1391
51	75	1373
52	75	1356
53	76	1339
54	77	1324
55	77	1308
56	78	1293
57	78	1279
58	79	1265
59	79	1252
60	80	1239
61	81	1226
62	81	1213
63	82	1201
64	82	1190
65	83	1179
66	83	1168
67	84	1157
68	85	1147
69	85	1137
70	86	1127
71	86	1118
72	87	1108
73	87	1100
74	88	1091
75	89	1082
76	89	1074
77	90	1065
78	90	1057
79	91	1050
80	91	1042
81	92	1035
82	93	1027
83	93	1021
84	94	1014
85	94	1007
86	95	1000
87	95	993
88	96	987
89	97	981
90	97	975
91	98	969
92	98	963
93	99	957
94	99	951
95	100	945
96	100	940
97	101	934
98	102	929
99	102	924
100	103	918
101	103	913
102	104	908
103	104	904
104	105	899
105	106	894
106	106	890
107	107	885
108	107	881
109	108	877
110	108	872
111	109	868
112	110	864
113	110	860
114	111	856
115	111	851
116	112	848
117	112	844
118	113	840
119	114	836
120	114	833
121	115	829
122	115	826
123	116	822
124	117	819
125	117	815
126	118	812
127	118	808
128	119	805
129	119	802
130	120	798
131	120	795
132	121	792
133	122	789
134	122	786
135	123	783
136	123	780
137	124	777
138	124	774
139	125	771
140	126	768
141	126	765
142	127	762
143	127	760
144	128	757
145	128	754
146	129	751
147	130	749
148	130	746
149	131	743
150	131	741
151	132	738
152	132	736
153	133	733
154	134	731
155	134	728
156	135	726
157	135	723
158	136	721
159	137	719
160	137	716
161	138	714
162	138	712
163	139	710
164	139	707
165	140	705
166	141	703
167	141	701
168	142	698
169	142	696
170	143	694
171	143	692
172	144	690
173	144	688
174	145	686
175	146	684
176	146	682
177	147	680
178	147	678
179	148	676
180	148	674
181	149	672
182	150	670
183	150	668
184	151	666
185	151	664
186	152	662
187	152	660
188	153	658
